種別（1: 国際学会・論文誌; 2: その他）,発表年,著者,タイトル,"誌名, 巻・号, ページ, 年",URL
2,2012,"相澤彰子, 松崎拓也, 穴井宏和",自然言語処理と計算代数の接合による数学問題へのアプローチ,人工知能学会誌   27(5)    2012年9月,http://ci.nii.ac.jp/naid/110009496296
1,2012,Takuya MATSUZAKI,Toward Wide-Coverage Natural Language Mathematical Problem Solving,Proceedings of the 9th International Workshop on Logic and Engineering of Natural Language Semantics 9   66-75   2012年12月,
2,2013,松崎拓也、岩根秀直、穴井宏和、相澤彰子、新井紀子,深い言語理解と数式処理の接合による入試数学問題解答システム,２０１３年度人工知能学会全国大会（JSAI2013）論文集,https://kaigi.org/jsai/webprogram/2013/pdf/622.pdf
2,2013,岩根秀直、松崎拓也、穴井宏和、新井紀子,数式処理による入試数学問題の解法と言語処理との接合における課題,２０１３年度人工知能学会全国大会（JSAI2013）論文集,https://kaigi.org/jsai/webprogram/2013/pdf/347.pdf
2,2013,横野光、稲邑哲也,物理シミュレーションと時系列データからの事象認識による物理問題解答,２０１３年度人工知能学会全国大会（JSAI2013）論文集,https://kaigi.org/jsai/webprogram/2013/pdf/632.pdf
2,2013,田然、宮尾祐介,関係代数に基づく推論の含意関係認識への応用,２０１３年度人工知能学会全国大会（JSAI2013）論文集,https://kaigi.org/jsai/webprogram/2013/pdf/164.pdf
2,2013,川添愛、宮尾祐介、松崎拓也、横野光、新井紀子,「史実としてありえない」という判断を可能にする世界史オントロジー,２０１３年度人工知能学会全国大会（JSAI2013）論文集,https://kaigi.org/jsai/webprogram/2013/pdf/647.pdf
2,2013,石下円香、狩野芳伸、神門典子,質問応答システムでの解答に向けた大学入試問題の分析,２０１３年度人工知能学会全国大会（JSAI2013）論文集,https://kaigi.org/jsai/webprogram/2013/pdf/332.pdf
2,2013,狩野芳伸、神門典子,質問応答システムとセンター試験解答フロー: Kachako対応による標準化・互換化,２０１３年度人工知能学会全国大会（JSAI2013）論文集,https://kaigi.org/jsai/webprogram/2013/pdf/724.pdf
1,2013,Yusuke Miyao and Ai Kawazoe,University Entrance Examinations as a Benchmark Resource for NLP-based Problem Solving,Proceedings of IJCNLP 2013,www.aclweb.org/anthology/I13-1192
1,2013,"Anselmo Penas, Yusuke Miyao, Eduard Hovy, Pamela Forner, Noriko Kando",Overview of QA4MRE 2013 Entrance Exams Task,Proceedings of CLEF 2013,
1,2013,"Xianjian Li, Tian Ran, Ngan Nguyen, Yusuke Miyao, and Akiko Aizawa",Question Answering System for Entrance Exams in QA4MRE,Proceedings of CLEF 2013,
1,2013,"Ai Kawazoe, Yusuke Miyao, Takuya Matsuzaki, Hikaru Yokono, Noriko Arai",World history ontology for reasoning truth/falsehood of sentences: Event classification to fill in the gaps be-tween knowledge resources and natural language texts,Proceedings of LENLS 10. 2013.,https://link.springer.com/chapter/10.1007/978-3-319-10061-6_3
1,2013,"Takuya Matsuzaki, Hidenao Iwane, Hirokazu Anai, Noriko Arai","The Complexity of Math Problems - Linguistic, or Computational?","Proceedings of IJCNLP-2013, 73--81, 2013",http://www.aclweb.org/anthology/I13-1009
1,2014,"Ran Tian, Yusuke Miyao and Takuya Matsuzaki",Logical Inference on Dependency-based Compositional Semantics,"Proceedings of ACL 2014, 2014",www.aclweb.org/anthology/P14-1008
1,2014,"Akira Fujita, Masayuki Suzuki, Noriko H. Arai",Cognitive model of generic skill: cognitive processes in search and editing,"Proceedings of 36th Annual Conference of the Cognitive Science Society (CogSci 2014), 2014",https://mindmodeling.org/cogsci2014/papers/389/paper389.pdf
